Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Potato,Root/Tuber,5.3–5.7,75–82%,7–10°C,Low,Medium,Medium,High,2–6 months,Allows airflow; limits greening and condensation.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Sweet potato,Root/Tuber,5.3–5.7,65–80%,13–15°C,Low,Low,Medium,Medium,4–7 months,Needs warm storage and airflow; avoid chilling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Cassava,Root/Tuber,5.5–6.5,60–70%,5–8°C (short term),High,Medium,High,Low,1–3 weeks,Highly perishable after harvest; reduce water loss and mechanical injury.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Yam,Root/Tuber,5.5–6.5,65–75%,12–16°C,Low,Low,Medium,Low,3–6 months,Ventilation and dry surfaces reduce decay.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Taro,Root/Tuber,5.5–6.5,60–70%,7–10°C,Medium,Medium,Medium,Low,2–4 months,Protects from bruising while allowing airflow.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Beetroot,Root,5.3–6.6,85–90%,0–2°C,Low,Low,High,Low,3–5 months,High humidity limits shriveling; ventilation prevents condensation.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Carrot,Root,5.9–6.4,86–90%,0°C,Low,Low,High,Low,3–6 months,High RH reduces water loss; venting supports cooling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Parsnip,Root,5.3–6.5,75–80%,0°C,Low,Low,High,Low,3–6 months,Prevents dehydration while maintaining airflow.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Turnip,Root,5.2–5.5,90–92%,0°C,Low,Low,High,Low,1–4 months,High RH limits wilting.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Radish,Root,5.5–6.5,94–96%,0°C,High,Low,High,Low,3–4 weeks,Rapid water loss; high RH and venting are important.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Daikon radish,Root,5.5–6.5,94–96%,0°C,Medium,Low,High,Low,1–3 months,Reduces moisture loss and bruising.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Jicama,Root,5.5–6.5,85–90%,13°C,Low,Low,Medium,Low,2–4 months,Avoid chilling; protect from impact.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Celeriac,Root,5.5–6.5,88–92%,0°C,Low,Low,High,Low,2–4 months,High RH helps maintain firmness.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Jerusalem artichoke,Tuber,5.5–6.5,75–80%,0–2°C,Low,Low,Medium,Low,2–5 months,Limits shriveling while permitting cooling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Arrowroot,Tuber,5.5–6.5,65–75%,10–13°C,Low,Low,Medium,Low,2–4 months,Protects against impact and excess moisture.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Lotus root,Root,5.5–6.5,80–85%,0–5°C,Medium,Medium,High,Low,2–4 weeks,Prevents browning/dehydration while allowing gas exchange.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Ginger,Rhizome,5.5–6.5,80–90%,12–14°C,Low,Low,Medium,Low,4–8 months,Avoid chilling and condensation.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Turmeric root,Rhizome,5.5–6.5,75–85%,10–13°C,Low,Low,Medium,Low,2–4 months,"Dry, ventilated handling reduces decay.","Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Horseradish,Root,5.5–6.5,70–80%,0°C,Low,Low,Medium,Low,4–6 months,Limits moisture loss during cold storage.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Yacon,Root,5.0–6.5,85–90%,10–12°C,Medium,Low,High,Low,2–4 months,Reduces dehydration without sealing completely.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
